flight_number,origin_station_code,destination_station_code,record_locator,arrival_delay_minutes,passenger_class,number_of_legs,loyalty_program_level,generation,fleet_type_description,actual_flown_miles,food_satisfaction_score,feedback_ID
1882,SFX,SJX,A3XXL1,-18,Economy,2,premier silver,Gen X,A320-200,1248,4,F_1465
1672,ORX,BWX,AYXXTY,-18,Economy,1,non-elite,Boomer,B737-800,621,4,F_1466
1119,CUX,SFX,CMXXM7,-26,Economy,1,premier silver,Boomer,B737-900,2408,2,F_1467
1686,LIX,DEX,GFXX1R,0,Economy,1,non-elite,Boomer,B757-200,3414,4,F_1468
2204,EWX,LAX,G2XXV8,2,Economy,2,non-elite,Boomer,B787-10,2454,2,F_1469
901,LHX,SFX,ORXX1M,6,Economy,1,non-elite,Gen X,B777-200,5368,2,F_1470
966,NAX,EWX,LCXXZM,6,Economy,1,non-elite,Boomer,B767-300,4416,4,F_1471
1702,EWX,IAX,BJXXWC,-16,Economy,2,non-elite,Gen X,A320-200,213,3,F_1472
2326,SAX,ORX,K2XXNG,-12,Economy,1,non-elite,Boomer,B737-900,1723,4,F_1473
590,DEX,EUX,D3XXCJ,-10,Economy,2,premier gold,Gen X,B737-800,997,3,F_1474
2012,DEX,CLX,HHXXH3,-9,Economy,1,non-elite,Gen Z,B737-900,1201,2,F_1475
1438,EWX,CLX,PLXXLW,21,Economy,1,non-elite,Boomer,B737-MAX8,404,3,F_1476
2496,SRX,EWX,FEXX9B,-33,Economy,1,non-elite,Gen X,B737-700,1034,1,F_1477
1726,SFX,OGX,EMXXH9,-9,Economy,1,non-elite,Boomer,B777-200,2338,3,F_1478
1456,LGX,DEX,JYXX10,-30,Economy,1,premier gold,Boomer,B737-800,1619,2,F_1479
61,SFX,MEX,AEXXH5,9,Economy,1,premier gold,Millennial,B787-9,7853,4,F_1480
935,EWX,LHX,DPXX9Z,1,Economy,1,premier silver,Gen Z,B767-300,3466,1,F_1481
908,ORX,FRX,NEXXLF,-13,Economy,1,non-elite,Boomer,B787-10,4344,4,F_1482
2380,SEX,IAX,AFXXGH,8,Economy,1,premier silver,Boomer,B737-900,1874,1,F_1483
2000,SFX,DEX,O6XXP4,-13,Economy,1,non-elite,Boomer,B777-200,967,2,F_1484
2269,IAX,MCX,FZXX7N,3,Economy,2,premier silver,Boomer,B737-MAX9,758,5,F_1485
384,HNX,DEX,G9XXH6,-4,Economy,1,premier 1k,Boomer,B777-200,3365,1,F_1486
1070,LAX,ORX,H6XXDP,-7,Economy,1,premier platinum,Boomer,B757-300,1745,4,F_1487
2322,PHX,IAX,NVXXYT,-13,Economy,1,non-elite,Millennial,B737-MAX8,1009,3,F_1488
1506,BZX,DEX,PJXXBY,-17,Economy,2,non-elite,Gen X,A319-100,525,4,F_1489
2412,MSX,DEX,BPXXM1,-20,Economy,2,premier silver,Boomer,B737-800,679,1,F_1490
2034,SFX,ORX,MSXX3P,7,Economy,2,non-elite,Boomer,B757-300,1846,4,F_1491
1936,ORX,LGX,MEXX3E,-9,Economy,1,non-elite,Millennial,A319-100,733,2,F_1492
1142,HNX,SFX,EHXXKR,0,Economy,1,premier platinum,Boomer,B777-200,2399,4,F_1493
2466,ORX,RDX,GKXX39,5,Economy,1,non-elite,Gen Z,A319-100,647,4,F_1494
2427,IAX,BOX,N5XXZ2,-14,Economy,2,premier platinum,Millennial,A320-200,1597,3,F_1495
2029,PHX,DEX,E9XXJN,-2,Economy,1,non-elite,Millennial,A320-200,602,1,F_1496
54,ZRX,IAX,K1XX5E,38,Economy,1,non-elite,Gen X,B767-300,4158,3,F_1497
287,CLX,DEX,NRXXR0,17,Economy,1,non-elite,Millennial,B737-800,1201,5,F_1498
161,MUX,IAX,EJXXJM,69,Economy,1,non-elite,Silent,B767-300,5417,3,F_1499
6363,IAX,DTX,NYXXP7,2,Economy,2,non-elite,Gen X,ERJ-175,383,4,F_1500
992,BCX,IAX,IJXXBJ,-22,Economy,1,non-elite,Boomer,B767-400,4060,4,F_1501
2100,ORX,SFX,I1XXWK,32,Economy,1,non-elite,Boomer,B737-900,1846,2,F_1502
2217,ORX,EWX,G7XX3T,109,Economy,3,non-elite,Gen Z,B737-900,719,1,F_1503
1176,SFX,HNX,ERXXDP,-18,Economy,1,non-elite,Gen X,B777-300,2399,2,F_1504
1988,LAX,EWX,FNXXH6,20,Economy,1,premier silver,Gen X,B737-900,2227,3,F_1505
1431,OGX,DEX,CDXXQB,-26,Economy,1,non-elite,Boomer,B757-200,3303,2,F_1506
664,DEX,ABX,HQXX1V,-15,Economy,2,non-elite,Millennial,A320-200,349,5,F_1507
1756,EWX,IAX,CPXXZR,2,Economy,1,non-elite,Boomer,B777-200,1400,5,F_1508
784,LAX,IAX,JCXXYM,5,Economy,1,non-elite,Gen X,B737-MAX9,2288,2,F_1509
2382,FCX,DEX,IEXX6W,-9,Economy,3,non-elite,Gen X,B737-800,753,2,F_1510
1129,SFX,EWX,HJXXTL,-18,Economy,1,non-elite,Millennial,B777-300,2565,4,F_1511
2201,EWX,SAX,H6XXMF,27,Economy,1,premier 1k,Gen X,B737-MAX8,2425,1,F_1512
713,ORX,DEX,FSXXZW,-2,Economy,2,premier 1k,Gen X,B787-9,7483,2,F_1513
1223,ATX,ORX,LMXXSX,-19,Economy,1,non-elite,Boomer,B737-700,606,1,F_1514
991,SFX,CDX,NFXX2Y,16,Economy,1,premier gold,Silent,B777-200,5583,2,F_1515
46,ZRX,SFX,JKXXH0,-10,Economy,1,non-elite,Boomer,B777-200,5841,1,F_1516
925,IAX,LHX,CDXXTQ,-16,Economy,1,non-elite,Gen X,B767-300,3677,1,F_1517
2263,LAX,SFX,MKXXGC,-1,Economy,2,non-elite,Gen X,B737-900,414,3,F_1518
5274,DTX,ORX,OLXXBN,-21,Economy,1,non-elite,Gen X,ERJ-175,235,1,F_1519
83,EWX,DEX,ICXX5M,68,Economy,1,premier gold,Gen X,B787-9,7323,1,F_1520
1429,SFX,EWX,DYXXLJ,-16,Economy,1,premier platinum,Gen X,B777-300,2565,1,F_1521
130,IAX,GIX,MDXXFM,-13,Economy,1,non-elite,Gen X,B767-300,5016,1,F_1522
57,CDX,EWX,GBXXEQ,-8,Economy,1,non-elite,Boomer,B777-300,3649,2,F_1523
3423,ATX,EWX,KYXXZV,-3,Economy,1,non-elite,Gen X,ERJ-175,745,2,F_1524
189,EWX,JNX,KZXX0H,0,Economy,1,premier gold,Gen X,B787-9,7989,4,F_1525
58,EWX,CDX,CLXXS5,-14,Economy,1,non-elite,Boomer,B777-300,3649,4,F_1526
1845,IAX,IAX,BBXX6K,-20,Economy,1,non-elite,Gen X,B737-800,1190,3,F_1527
5664,SLX,DEX,OJXXX0,-2,Economy,2,non-elite,Silent,ERJ-175,391,1,F_1528
443,DEX,LGX,E1XX1R,-2,Economy,1,premier gold,Boomer,A320-200,1619,4,F_1529
148,LHX,EWX,PTXXG7,27,Economy,1,non-elite,Boomer,B767-300,3466,1,F_1530
1637,HNX,LAX,BMXX9B,-28,Economy,1,non-elite,Gen X,B757-300,2556,3,F_1531
843,SYX,LAX,DRXXEY,-10,Economy,1,non-elite,Gen X,B787-9,7487,2,F_1532
126,ATX,EWX,M3XX1J,-20,Economy,1,non-elite,Millennial,B777-200,4948,1,F_1533
2058,YVX,IAX,AWXXB5,-13,Economy,1,premier 1k,Boomer,B737-900,1971,1,F_1534
970,AMX,SFX,EZXXZB,23,Economy,2,non-elite,Boomer,B787-9,5473,3,F_1535
2144,EWX,SJX,CPXXM4,-18,Economy,1,non-elite,Gen X,B767-400,1608,2,F_1536
1250,EWX,PHX,MFXXR1,-38,Economy,1,non-elite,Boomer,B737-900,2133,4,F_1537
3566,MSX,ORX,IHXXZF,-19,Economy,2,non-elite,Boomer,ERJ-170,109,1,F_1538
1885,EWX,RSX,ILXX72,-23,Economy,1,non-elite,Boomer,B737-700,1068,3,F_1539
2172,GRX,DEX,A7XXXJ,-13,Economy,2,non-elite,Silent,B737-900,1014,5,F_1540
1120,CHX,ORX,JTXXV6,-9,Economy,1,premier silver,Boomer,A320-200,760,3,F_1541
42,FCX,EWX,MKXXDH,-4,Economy,1,non-elite,Boomer,B777-300,4292,2,F_1542
3613,CMX,EWX,MNXXJ1,-17,Economy,1,non-elite,Boomer,ERJ-170,462,4,F_1543
1701,SFX,EUX,EFXXDR,-11,Economy,2,non-elite,Millennial,A319-100,451,1,F_1544
2376,PHX,ORX,CYXXXR,-19,Economy,1,premier silver,Gen X,A319-100,678,3,F_1545
1118,DFX,IAX,HWXXNV,-3,Economy,1,non-elite,Gen X,A319-100,1172,2,F_1546
1835,DFX,EWX,OYXXB8,-29,Economy,1,premier gold,Gen X,A320-200,1372,2,F_1547
517,SEX,LAX,PQXXV6,-4,Economy,1,non-elite,Gen Z,A320-200,954,2,F_1548
718,IAX,DEX,ECXX5B,74,Economy,2,premier gold,Boomer,B777-200,1452,4,F_1549
4765,ORX,LGX,FDXX01,6,Economy,1,non-elite,Gen X,ERJ-175,733,4,F_1550
115,PPX,SFX,J8XXPS,-42,Economy,1,non-elite,Boomer,B787-9,4188,1,F_1551
219,HNX,ORX,N1XXS5,-33,Economy,1,non-elite,Millennial,B787-10,4244,2,F_1552
2067,ORX,SAX,B8XX9H,-22,Economy,1,non-elite,Boomer,B737-900,1723,3,F_1553
2213,IAX,SEX,IXXXTR,-5,Economy,2,non-elite,Millennial,B737-900,1874,2,F_1554
253,HNX,IAX,PLXX4P,-7,Economy,2,non-elite,Millennial,B777-200,3904,1,F_1555
488,SFX,IAX,J0XXH6,-9,Economy,1,premier gold,Gen X,B737-900,2419,1,F_1556
122,BCX,EWX,GDXXQT,-31,Economy,1,premier gold,Boomer,B767-400,3848,1,F_1557
1530,SFX,SAX,BEXX8F,0,Economy,1,non-elite,Gen Z,A319-100,1482,5,F_1558
2387,FLX,ORX,PZXXSG,-13,Economy,1,global services,Silent,A320-200,1182,1,F_1559
1413,EWX,MIX,EWXXVP,-6,Economy,1,premier gold,Millennial,B737-800,1086,3,F_1560
612,ORX,IAX,BYXXKD,-16,Economy,2,non-elite,Boomer,B737-900,925,2,F_1561
1475,EWX,RDX,BQXXB9,15,Economy,1,premier 1k,Millennial,B737-MAX8,416,1,F_1562
495,SNX,EWX,NMXXCP,-7,Economy,1,non-elite,Boomer,B737-700,2433,2,F_1563
492,BZX,DEX,BSXX3H,-12,Economy,1,non-elite,Boomer,B737-MAX9,525,4,F_1564
33,LAX,NRX,JLXXKT,-22,Economy,1,non-elite,Millennial,B787-9,5451,4,F_1565
965,EWX,NAX,HPXXEN,1,Economy,1,premier silver,Gen X,B767-300,4416,2,F_1566
2134,PHX,IAX,LZXX9V,-15,Economy,1,premier silver,Boomer,B737-900,1956,2,F_1567
1141,IAX,TPX,BJXXV8,-26,Economy,2,non-elite,Boomer,B737-900,810,2,F_1568
57,CDX,EWX,C2XXFC,3,Economy,1,non-elite,Boomer,B777-300,3649,2,F_1569
1905,ORX,EWX,IGXX3P,-4,Economy,1,premier silver,Gen X,B737-900,719,1,F_1570
482,BNX,EWX,N6XXP9,21,Economy,1,non-elite,Gen X,B737-900,748,4,F_1571
606,SFX,PDX,CEXXS9,-15,Economy,3,non-elite,Boomer,B737-900,550,3,F_1572
2429,RDX,IAX,L4XX17,1,Economy,2,premier gold,Gen X,B737-800,224,2,F_1573
846,ORX,GRX,IDXX2D,-18,Economy,2,premier silver,Gen X,B787-9,5222,3,F_1574
3471,EWX,BUX,P9XX94,120,Economy,1,non-elite,Gen X,ERJ-175,282,1,F_1575
2039,EWX,LAX,MWXXNJ,-42,Economy,2,non-elite,Gen X,B777-200,2454,5,F_1576
6341,IAX,CMX,LSXXV8,-3,Economy,1,non-elite,Gen X,ERJ-175,986,4,F_1577
1129,SFX,EWX,GYXX49,-1,Economy,1,non-elite,Millennial,B777-300,2565,4,F_1578
990,IAX,FRX,F2XX6Q,4,Economy,1,non-elite,Gen X,B777-300,4082,2,F_1579
2650,ORX,LAX,AXXXND,-39,Economy,1,premier silver,Millennial,B757-300,1745,5,F_1580
73,IAX,TLX,LYXXVB,-10,Economy,1,premier silver,Boomer,B787-8,5904,1,F_1581
60,FRX,SFX,CBXX4W,24,Economy,1,non-elite,Boomer,B777-300,5700,4,F_1582
387,DBX,EWX,JPXX4C,5,Economy,2,non-elite,Gen X,B767-300,4526,2,F_1583
2359,JAX,IAX,NBXX6C,-16,Economy,1,non-elite,Boomer,B737-700,817,1,F_1584
963,EWX,BEX,OWXX0N,11,Economy,2,non-elite,Silent,B767-400,3986,1,F_1585
66,LIX,EWX,EBXXZW,7,Economy,2,global services,Boomer,B787-10,3385,5,F_1586
939,ORX,LHX,NCXXQN,-36,Economy,1,non-elite,Boomer,B767-300,3953,5,F_1587
688,EWX,IAX,E1XXZN,-4,Economy,3,non-elite,Boomer,B767-300,1400,5,F_1588
1005,ORX,BUX,CGXXP8,-22,Economy,2,premier 1k,Gen X,B737-800,473,3,F_1589
2457,LAX,EWX,IWXX56,-1,Economy,2,premier gold,Gen X,B787-10,2454,2,F_1590
1277,LAX,CUX,EHXXD8,-11,Economy,1,non-elite,Boomer,B737-900,2119,3,F_1591
1989,ORX,ATX,JKXXS0,70,Economy,2,premier silver,Gen X,A319-100,606,5,F_1592
217,EWX,PDX,E3XXWN,-38,Economy,1,non-elite,Boomer,B737-MAX8,2576,1,F_1593
993,IAX,BCX,D2XXWR,-3,Economy,3,non-elite,Boomer,B777-200,4060,2,F_1594
5473,COX,IAX,N3XXQG,-21,Economy,1,non-elite,Silent,ERJ-175,809,1,F_1595
293,EWX,SEX,LSXXJN,6,Economy,1,non-elite,Gen X,A320-200,2401,1,F_1596
331,LAX,ORX,DTXX5C,-6,Economy,1,non-elite,Boomer,B757-300,1745,3,F_1597
220,ORX,HNX,HMXXFE,-43,Economy,2,non-elite,Gen X,B787-10,4244,4,F_1598
1899,DEX,ORX,CYXXEJ,2,Economy,2,premier 1k,Boomer,B777-200,888,2,F_1599
1246,PLX,IAX,HLXXBJ,-27,Economy,2,non-elite,Gen X,B737-900,1540,1,F_1600
1686,LIX,DEX,B6XX2E,-14,Economy,1,non-elite,Boomer,B757-200,3414,2,F_1601
980,EDX,IAX,B9XX4R,-6,Economy,1,non-elite,Gen X,B767-400,3477,1,F_1602
992,BCX,IAX,EZXXCQ,-20,Economy,1,non-elite,Boomer,B767-400,4060,4,F_1603
510,FCX,EWX,LMXX97,-32,Economy,1,premier silver,Gen X,B777-200,4292,2,F_1604
3604,EWX,YYX,FQXXH6,-12,Economy,1,premier silver,Gen X,ERJ-170,347,3,F_1605
1753,EWX,RSX,L6XXQN,18,Economy,2,premier gold,Gen X,B737-700,1068,5,F_1606
2615,LAX,EWX,AVXXDQ,8,Economy,1,non-elite,Gen X,B787-10,2454,1,F_1607
792,BZX,ORX,HSXX1H,-1,Economy,2,non-elite,Boomer,A320-200,1186,2,F_1608
188,JNX,EWX,JXXXSV,-57,Economy,1,non-elite,Gen Z,B787-9,7989,5,F_1609
1176,SFX,HNX,H7XXMW,-6,Economy,1,non-elite,Silent,B777-300,2399,4,F_1610
502,MCX,EWX,MZXXBG,-21,Economy,1,non-elite,Millennial,B737-800,938,3,F_1611
390,EWX,DEX,AMXX5L,13,Economy,2,non-elite,Boomer,B737-900,1605,2,F_1612
1215,DFX,DEX,P1XXJ8,3,Economy,2,premier 1k,Boomer,B737-900,641,5,F_1613
987,CDX,ORX,HPXXSZ,-37,Economy,1,premier silver,Gen X,B787-9,4153,2,F_1614
2096,ORX,LAX,CJXX4J,-22,Economy,2,non-elite,Boomer,B787-10,1745,2,F_1615
220,ORX,HNX,EDXX35,-36,Economy,2,premier platinum,Silent,B787-10,4244,4,F_1616
648,BOX,DEX,D1XXN7,-27,Economy,2,premier silver,Boomer,B737-MAX9,1754,2,F_1617
725,HNX,SFX,C7XXTS,-3,Economy,1,non-elite,Boomer,B777-200,2399,4,F_1618
202,HNX,GUX,CLXXQB,-18,Economy,1,premier platinum,Gen X,B777-300,3801,1,F_1619
5618,PSX,SFX,HMXX01,-17,Economy,1,premier 1k,Boomer,CRJ-700,421,1,F_1620
1672,ORX,BWX,MHXX4Y,-10,Economy,2,non-elite,Boomer,B737-800,621,5,F_1621
1537,IAX,EWX,LYXXQS,-30,Economy,2,premier gold,Boomer,B737-MAX8,1400,5,F_1622
634,YYX,DEX,OMXXQR,-9,Economy,1,premier gold,Gen X,A319-100,899,4,F_1623
145,EWX,OPX,DGXXVF,-14,Economy,1,premier silver,Boomer,B757-200,3340,5,F_1624
873,TPX,SFX,GGXXJS,36,Economy,1,non-elite,Boomer,B777-300,6469,4,F_1625
1914,DFX,IAX,P8XXCK,-28,Economy,2,non-elite,Gen X,B737-900,224,5,F_1626
3,SIX,SFX,ATXXPG,7,Economy,1,non-elite,Gen X,B787-9,8440,3,F_1627
820,IAX,EZX,B3XXT1,5,Economy,1,premier platinum,Millennial,B777-200,5062,1,F_1628
2174,ORX,MCX,NZXXS7,-15,Economy,1,non-elite,Boomer,B757-300,1005,1,F_1629
17,EWX,LHX,BYXX42,16,Economy,1,non-elite,Boomer,B767-300,3466,3,F_1630
352,DCX,SFX,B9XXMY,65,Economy,1,non-elite,Boomer,B737-800,2442,1,F_1631
1431,OGX,DEX,FHXXDK,-29,Economy,1,non-elite,Gen X,B757-200,3303,2,F_1632
4170,EWX,STX,OKXXHG,-18,Economy,1,premier platinum,Boomer,CRJ-550,872,2,F_1633
2495,IAX,EWX,PBXX6D,10,Economy,2,premier silver,Boomer,B737-800,1400,1,F_1634
85,EWX,TLX,ATXXCR,19,Economy,1,premier gold,Gen X,B787-10,5692,1,F_1635
1569,ORX,SFX,P7XX3M,-26,Economy,1,non-elite,Gen X,B737-900,1846,2,F_1636
501,INX,SFX,MDXXTY,-20,Economy,1,non-elite,Boomer,B737-800,1944,2,F_1637
1624,SBX,DEX,PFXX0C,4,Economy,2,premier 1k,Boomer,B737-800,916,2,F_1638
966,NAX,EWX,NJXXSM,96,Economy,1,non-elite,Boomer,B767-300,4416,1,F_1639
940,LHX,SFX,DVXXCL,0,Economy,1,non-elite,Boomer,B787-9,5368,4,F_1640
334,BOX,LAX,G6XX3M,-8,Economy,1,non-elite,Gen X,B737-900,2611,2,F_1641
384,HNX,DEX,J1XX77,26,Economy,1,premier silver,Boomer,B777-200,3365,3,F_1642
2612,LAX,SFX,LBXXV1,3,Economy,2,non-elite,Gen X,B737-800,337,3,F_1643
214,EWX,CMX,BFXXGZ,172,Economy,1,non-elite,Boomer,B737-800,462,1,F_1644
1979,DEX,CVX,ORXXNE,6,Economy,1,non-elite,Gen X,B737-800,1069,5,F_1645
1145,ORX,MCX,M7XXZM,-11,Economy,2,non-elite,Gen Z,A320-200,403,4,F_1646
1747,LIX,SFX,CPXXJV,-2,Economy,1,non-elite,Millennial,B737-800,2447,4,F_1647
1633,PDX,SFX,J6XXP6,-11,Economy,1,non-elite,Boomer,A320-200,550,2,F_1648
1933,ORX,LGX,EDXXD4,-26,Economy,1,premier platinum,Gen X,B737-800,733,1,F_1649
3710,ORX,DCX,HSXX1S,-8,Economy,1,premier 1k,Gen X,ERJ-170,612,3,F_1650
942,LHX,EWX,HQXXEC,-59,Economy,1,non-elite,Boomer,B767-300,3466,1,F_1651
2615,LAX,EWX,ABXXJ9,-7,Economy,1,non-elite,Gen X,B787-10,2454,4,F_1652
280,LAX,KOX,D0XXY8,-28,Economy,3,non-elite,Boomer,B737-900,2505,1,F_1653
1233,EWX,ORX,NLXXG6,-9,Economy,3,non-elite,Boomer,B737-900,719,3,F_1654
6137,CMX,IAX,CQXXXQ,-20,Economy,1,premier silver,Boomer,ERJ-175,986,2,F_1655
2449,SFX,EWX,O6XXC6,9,Economy,1,premier silver,Boomer,B777-300,2565,3,F_1656
1214,ORX,TPX,AKXX0T,-13,Economy,2,non-elite,Boomer,B737-800,1012,4,F_1657
429,MEX,IAX,MMXXPL,-32,Economy,1,premier gold,Gen X,A320-200,763,4,F_1658
970,AMX,SFX,E0XX5F,-9,Economy,1,non-elite,Boomer,B787-9,5473,1,F_1659
955,SFX,TLX,EGXX4C,-13,Economy,1,non-elite,Millennial,B777-200,7421,2,F_1660
483,BOX,ORX,BDXX35,-22,Economy,1,non-elite,Gen X,B737-MAX9,867,3,F_1661
1950,IAX,ORX,HZXXNX,58,Economy,1,non-elite,Gen X,B737-900,157,1,F_1662
23,DUX,EWX,MEXXM2,37,Economy,2,non-elite,Boomer,B767-400,3193,4,F_1663
5802,DSX,ORX,BNXXXW,-2,Economy,2,non-elite,Gen X,CRJ-700,299,2,F_1664
951,IAX,BRX,JRXXNJ,-25,Economy,1,non-elite,Gen X,B777-300,3892,1,F_1665
983,IAX,ATX,MHXXHX,65,Economy,2,non-elite,Gen X,B787-8,5168,2,F_1666
1844,MIX,ORX,FCXXZB,60,Economy,1,non-elite,Millennial,A319-100,1197,3,F_1667
2108,ORX,PIX,FTXXTP,2,Economy,1,non-elite,Millennial,B737-900,412,4,F_1668
2012,DEX,CLX,HSXXXV,-18,Economy,1,non-elite,Boomer,B737-800,1201,3,F_1669
385,DEX,HNX,M3XXV9,-10,Economy,2,non-elite,Gen X,B777-200,3365,2,F_1670
1772,SEX,ORX,PXXXTD,-30,Economy,1,premier 1k,Boomer,B737-900,1721,5,F_1671
1761,IAX,RDX,GYXX1Y,83,Economy,2,non-elite,Boomer,A319-100,1043,4,F_1672
420,BDX,IAX,BYXXRT,-16,Economy,1,premier platinum,Boomer,A320-200,1507,3,F_1673
2295,MFX,IAX,EEXXZQ,-17,Economy,2,premier platinum,Gen X,A320-200,316,1,F_1674
2308,DEX,LIX,J8XX9D,-9,Economy,2,non-elite,Gen X,B757-200,3414,4,F_1675
2297,IAX,FLX,JSXXP2,8,Economy,1,non-elite,Gen X,B737-MAX8,965,3,F_1676
998,ACX,IAX,ARXX9D,-29,Economy,1,non-elite,Gen X,B787-8,5296,5,F_1677
683,EWX,SFX,AJXXMM,-12,Economy,2,premier 1k,Gen X,B777-300,2565,3,F_1678
1686,LIX,DEX,MEXXD6,-6,Economy,1,non-elite,Boomer,B757-200,3414,1,F_1679
1640,OGX,SFX,I9XXJ7,-6,Economy,1,non-elite,Boomer,B737-MAX9,2338,1,F_1680
1499,EWX,SFX,NHXX61,-35,Economy,1,non-elite,Boomer,B777-300,2565,2,F_1681
275,MSX,IAX,CDXXHB,-23,Economy,2,non-elite,Boomer,B737-800,305,4,F_1682
819,EZX,IAX,D1XX4L,-11,Economy,1,non-elite,Boomer,B777-200,5062,4,F_1683
914,KEX,ORX,H4XX9F,-16,Economy,1,non-elite,Boomer,B757-200,2944,5,F_1684
1511,IAX,PHX,PDXXJ2,-25,Economy,1,non-elite,Boomer,B737-900,1956,4,F_1685
126,ATX,EWX,OLXXRK,-15,Economy,2,non-elite,Gen X,B787-10,4948,3,F_1686
1684,DEX,MCX,CJXXWL,-17,Economy,1,non-elite,Gen X,B737-800,1545,3,F_1687
1591,EWX,IAX,DBXX9D,-9,Economy,1,premier gold,Millennial,B737-800,1400,5,F_1688
118,SPX,GUX,OQXXMM,-13,Economy,1,non-elite,Gen X,B737-800,129,1,F_1689
2283,SAX,IAX,IWXX2Y,7,Economy,1,premier silver,Gen X,B737-900,2253,2,F_1690
1404,IAX,PNX,JYXXFZ,29,Economy,2,non-elite,Gen X,B737-700,489,2,F_1691
953,MUX,ORX,BKXXYW,10,Economy,1,global services,Gen X,B787-10,4530,3,F_1692
42,FCX,EWX,A2XXKW,-10,Economy,1,premier silver,Gen X,B777-300,4292,2,F_1693
944,LIX,IAX,GDXX48,-24,Economy,1,non-elite,Boomer,B757-200,3592,2,F_1694
1063,LAX,ORX,N1XXKR,-12,Economy,1,non-elite,Gen X,B737-800,1515,3,F_1695
634,CIX,DEX,JEXXE4,-9,Economy,2,non-elite,Boomer,B737-900,692,2,F_1696
1461,DEX,STX,G7XXR0,-1,Economy,1,non-elite,Gen X,A320-200,770,2,F_1697
548,IAX,SFX,OLXXSF,-6,Economy,2,non-elite,Boomer,B737-900,1635,1,F_1698
1636,LAX,IAX,K0XXSM,-3,Economy,1,premier platinum,Millennial,B737-900,2288,3,F_1699
977,EWX,SNX,NZXXC7,124,Economy,2,non-elite,Gen X,B757-200,3096,2,F_1700
957,EWX,GVX,CSXXV8,27,Economy,1,premier platinum,Boomer,B767-300,3878,2,F_1701
2674,ORX,LGX,DHXX4Q,-19,Economy,1,non-elite,Gen X,B737-700,733,4,F_1702
399,EWX,TPX,I6XX16,13,Economy,1,non-elite,Boomer,B737-800,998,3,F_1703
954,ORX,MUX,BHXX6C,0,Economy,1,non-elite,Boomer,B787-10,4530,2,F_1704
1991,EWX,PDX,B8XXGP,-28,Economy,1,premier silver,Boomer,B737-MAX9,2433,3,F_1705
979,IAX,EDX,NNXX77,-12,Economy,1,premier silver,Boomer,B767-400,3477,2,F_1706
1130,DSX,DEX,I0XXP9,-4,Economy,1,non-elite,Gen X,B737-900,589,2,F_1707
17,EWX,LHX,PQXXBR,-16,Economy,1,non-elite,Boomer,B767-300,3466,2,F_1708
1699,SFX,SLX,H4XXEW,-22,Economy,1,premier silver,Gen X,A319-100,599,2,F_1709
390,EWX,DEX,MYXXKP,21,Economy,1,non-elite,Millennial,B737-MAX9,1605,4,F_1710
1729,SFX,CLX,E4XXGV,-3,Economy,1,premier silver,Gen X,B737-800,2161,3,F_1711
1155,IAX,CUX,I7XXBX,-4,Economy,1,non-elite,Millennial,B737-900,1354,1,F_1712
789,EWX,SFX,PTXXGH,-1,Economy,1,non-elite,Gen X,B777-200,2565,1,F_1713
1690,TPX,DEX,GNXXHC,-12,Economy,1,non-elite,Boomer,B737-900,1506,5,F_1714
514,DEX,PHX,ANXXMR,-12,Economy,1,non-elite,Boomer,B737-800,1557,5,F_1715
1544,SEX,DEX,LTXX7S,11,Economy,2,non-elite,Gen X,B737-800,1024,3,F_1716
203,ORX,OGX,DQXXS3,-24,Economy,2,non-elite,Boomer,B787-8,4184,2,F_1717
459,EWX,SNX,FCXXPZ,6,Economy,1,premier platinum,Boomer,B737-700,2433,3,F_1718
2170,ORX,SFX,MXXXMD,-31,Economy,1,non-elite,Boomer,B757-300,1846,4,F_1719
1274,DEX,RIX,O6XX6L,-6,Economy,1,premier silver,Boomer,A319-100,1482,5,F_1720
680,EWX,LAX,A1XXXK,-7,Economy,1,non-elite,Boomer,B737-900,2227,3,F_1721
2311,ORX,EWX,G3XX3E,25,Economy,1,non-elite,Boomer,B737-800,719,2,F_1722
2188,SFX,BOX,GBXXFP,-32,Economy,1,non-elite,Boomer,B737-MAX9,2704,2,F_1723
3,SIX,SFX,BEXX75,-17,Economy,2,premier silver,Boomer,B787-9,8440,5,F_1724
1289,ATX,ORX,MYXX5V,-22,Economy,1,premier silver,Boomer,A319-100,606,5,F_1725
1448,SJX,IAX,P1XXS1,-3,Economy,2,non-elite,Boomer,B737-800,1552,2,F_1726
1862,EWX,SAX,GEXX4H,-3,Economy,1,non-elite,Boomer,B737-800,708,3,F_1727
317,DUX,EWX,N7XX7W,-17,Economy,1,non-elite,Boomer,B757-200,3193,2,F_1728
2608,LAX,IAX,LWXXVP,-18,Economy,1,non-elite,Boomer,B737-800,2288,3,F_1729
387,DBX,EWX,FFXXD7,3,Economy,1,premier platinum,Boomer,B767-300,4526,5,F_1730
2383,IAX,PHX,ADXX4W,-21,Economy,1,non-elite,Gen X,A320-200,1324,2,F_1731
125,EWX,ATX,JRXXTX,-2,Economy,1,non-elite,Boomer,B777-200,4948,2,F_1732
1726,SFX,OGX,ETXXPV,-12,Economy,1,non-elite,Boomer,B777-200,2338,1,F_1733
524,JFX,SFX,INXXW3,-19,Economy,1,premier gold,Boomer,B757-200,2586,5,F_1734
